trial,instr,fired_lanes,n_fired,ct0,ct1,ct2,ct3,diff_count_0,diff_count_1,diff_count_2,diff_count_3,col_0,col_1,col_2,col_3
i5396,5396,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,0,0,0,-1,-1,-1,-1
i5400,5400,"0,1,2,3",4,3925841d02dc09fbdcd48597196a0b32,8df4e9aac5c7573a27bbd055d6e4d64b,2f49671c7ab81b2f431f9b650e35b8c1,e16b676be413d87d83f2b9aef7b847f4,1,1,1,1,-1,-1,-1,-1
i5404,5404,"0,1,2,3",4,3925841d02dc09fbdcd48597196a0b32,8df4e9aac5c7573a27bbd055d6e4d64b,2f49671c7ab81b2f431f9b650e35b8c1,e16b676be413d87d83f2b9aef7b847f4,1,1,1,1,-1,-1,-1,-1
i5408,5408,"0,1,2",3,3925841d02dc5ffbdc118597196a0b32,8df4e9aac5c7dd3a27d8d055d6e4d64b,2f49671c7ab8142f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,1,1,1,0,-1,-1,-1,-1
i5412,5412,"0,1,2,3",4,3925847002dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,1,0,0,0,-1,-1,-1,-1
i5416,5416,"0,1,2,3",4,3925843202dc09fbdc118597196a0b32,8df4e9dbc5c7573a27d8d055d6e4d64b,2f49678e7ab81b2f435d9b650e35b8c1,e16b675ee413d87d83edb9aef7b847f4,1,1,1,1,-1,-1,-1,-1
i5420,5420,"1,2,3",3,3925841d02dc09fbdc118597196a0b32,8df4e982c5c7573a27d8d055d6e4d64b,2f4967ba7ab81b2f435d9b650e35b8c1,e16b67e3e413d87d83edb9aef7b847f4,0,1,1,1,-1,-1,-1,-1
i5424,5424,"0,1,2,3",4,3925847002dc09fbdc118597196a0b32,8df4e982c5c7573a27d8d055d6e4d64b,2f4967ba7ab81b2f435d9b650e35b8c1,e16b67e3e413d87d83edb9aef7b847f4,1,1,1,1,-1,-1,-1,-1
i5428,5428,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,0,0,0,-1,-1,-1,-1
i5432,5432,"0,1,2,3",4,2a25841d02dc09fbdc118597196a0b32,90f4e9aac5c7573a27d8d055d6e4d64b,c349671c7ab81b2f435d9b650e35b8c1,ee6b676be413d87d83edb9aef7b847f4,1,1,1,1,-1,-1,-1,-1
